Origin,Origin Name,Origin Country,Origin City,Destination,Destination Name,Destination Country,Destination City,Total Time,Aircraft Registration,Aircraft Description,Distance Flown
NZIR,McMurdo Station,Antarctica,McMurdo Station,NZPG,McMurdo Station,Antarctica,McMurdo Station,00:06:55,,Ultralight trike,11 Km
LLMZ,I.Bar-Yehuda,Israel,Metzada,LLMZ,I.Bar-Yehuda,Israel,Metzada,00:05:07,,Ultralight trike,0 Km
S10,Chelan Mun,United States,Chelan,W12,Lost River Resort,United States,Mazama,00:37:20,N71FS,BEECH BE58,100.2 Km
S52,Methow Valley State,United States,Winthrop,W12,Lost River Resort,United States,Mazama,00:18:52,N71FS,BEECH BE58,36.3 Km
W12,Lost River Resort,United States,Mazama,S10,Chelan Mun,United States,Chelan,00:46:22,N71FS,BEECH BE58,116.2 Km
PHMK,Molokai,United States,Kaunakakai,PHHN,Hana,United States,Hana,01:22:20,N1000B,Mooney M20T,119.3 Km
LFPB,Le Bourget,France,Paris,LFPB,Le Bourget,France,Paris,00:27:57,F-X395,AIRBUS A321,0 Km
S60,Kenmore Air Harbor Inc,United States,Kenmore,76S,Lupien,United States,Oak Harbor,02:12:33,N9766Z,deHavilland DHC2,209 Km
S60,Kenmore Air Harbor Inc,United States,Kenmore,W33,Friday Harbor,United States,Friday Harbor,00:49:26,N9766Z,deHavilland DHC2,127.9 Km
EGMH,Manston,United Kingdom,Manston,LFAT,Paris-Plage,France,Le Touquet,00:40:57,N700MS,Cessna C172,94.2 Km
SPIL,Quincemil,Peru,Quincemil,SPIL,Quincemil,Peru,Quincemil,00:44:06,OB-837,Grumman G21,221.9 Km
SPIL,Quincemil,Peru,Quincemil,SPIL,Quincemil,Peru,Quincemil,00:17:12,OB-837,Grumman G21,0 Km
KOSH,Wittman Regl,United States,Oshkosh,KOSH,Wittman Regl,United States,Oshkosh,00:07:01,NC77585,Piper J3,0 Km
KLAS,McCarran Intl,United States,Las Vegas,AR51,Area 51,United States,Rachel,00:29:41,N737T,BOEING B738,142.4 Km
FAUR,Utrecht,South Africa,Utrecht,FANC,Newcastle,South Africa,Newcastle,00:14:35,N350DC,Douglas DC3,35.8 Km
KMEV,Minden-Tahoe,United States,Minden,KMEV,Minden-Tahoe,United States,Minden,00:35:23,N88ZZ,DG 808s,0 Km
